size,brand,dominant_material,actual_color,product_type,body,product_details,type,variant_price,variant_compare_at_price,ideal_for,is_in_stock
18-24M,Aj DEZInES,Cotton,Pink | White,Kurta with Churidar,"Surprise your little boy with this trending pink colored side button kurta pyjama set from AJ Dezines. Will add more stars to your child?s personality and will give him a complete ethnic look. Designed with high quality cotton blend fabric to give more comfort to your child. This boys dress comes with a kurta and a pair of pyjamas. Kurta has round collar and full sleeve with roll-up tab feature, single placket with asymmetric hem, printed pattern and pyjamas has elastic which ensures it fits to the little and delicate waist of your child. You can team it up with matching footwear and accessories for a complete ethnic look. This boys ethnic suit suitable for parties, wedding, ceremony, festival like like Diwali, Navratri, Dussehra, Pongal, Onam, Lohri, Eid, Christmas and so on. AJ Dezines is a leading brand in kids wear with wide range of kids clothing which includes kids ethnic wear, accessories and a lot more. Give us a chance to serve you once. Give us a chance to serve you once.
Regular Fit
Top fabric: 70% Cotton,30% Silk,Bottom fabric: 70% Cotton,30% Silk,Cotton BlendMachine-wash","Surprise your little boy with this trending pink colored side button kurta pyjama set from AJ Dezines. Will add more stars to your child?s personality and will give him a complete ethnic look. Designed with high quality cotton blend fabric to give more comfort to your child. This boys dress comes with a kurta and a pair of pyjamas. Kurta has round collar and full sleeve with roll-up tab feature, single placket with asymmetric hem, printed pattern and pyjamas has elastic which ensures it fits to the little and delicate waist of your child. You can team it up with matching footwear and accessories for a complete ethnic look. This boys ethnic suit suitable for parties, wedding, ceremony, festival like like Diwali, Navratri, Dussehra, Pongal, Onam, Lohri, Eid, Christmas and so on. AJ Dezines is a leading brand in kids wear with wide range of kids clothing which includes kids ethnic wear, accessories and a lot more. Give us a chance to serve you once. Give us a chance to serve you once.",Clothing/Boys/Kurta Sets/Aj DEZInES/More by Aj DEZInES,899,1999,Boys,Out of Stock
M,Cross Court,Cotton,White,Straight Kurta,"White solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
100% Cotton Machine-wash
Sport this classic kurta from Cross Court this season.  You'll look dapper as ever in this white piece paired with slim jeans and sandals, ideal for any nice family gathering.","White solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/Cross Court/More by Cross Court,559,1599,Men,In Stock
M,L.A. SEVEN,Cotton,Navy,Straight Kurta,"Navy blue solid straight kurta, has a mandarin collar, long sleeves, curved hem
The model (height 6') is wearing a size M
From L.A. SEVEN, this kurta is a great way to show off your style.  Achieve a comfortably chic look for your next dinner party or family outing when you team this navy blue piece with slim trousers and minimal flair.
Cotton   Machine-wash","Navy blue solid straight kurta, has a mandarin collar, long sleeves, curved hem",Clothing/Men/Kurtas/L.A. SEVEN/More by L.A. SEVEN,749,1499,Men,In Stock
XXL,Libas,Cotton,White | Magenta,A-Line Kurta,"White and magenta printed A-line kurta, has a mandarin collar with beads and sequins detail, three-quarter sleeves, flared hem
The model (height 5'8"") is wearing a size S
Cotton Hand-wash
Make a statement with this elegant kurta from Libas.  Dress up for your next family event by pairing this white piece with your best Kolhapuris and simple jewellery.","White and magenta printed A-line kurta, has a mandarin collar with beads and sequins detail, three-quarter sleeves, flared hem",Clothing/Women/Kurtas/Libas/More by Libas,999,1999,Women,Out of Stock
XS,Sangria,cotton,Brown | White,,"Brown and white checked A-line kurta, has a mandarin collar, three-quarter sleeves, two pockets, flared hem, front slit
The model (height 5'8"") is wearing a size S
100% cottonMachine-wash
Look and feel beautiful in this uniquely designed kurta from Sangria.  Dress up for your next family event by pairing this brown piece with your best Kolhapuris and simple jewellery.","Brown and white checked A-line kurta, has a mandarin collar, three-quarter sleeves, two pockets, flared hem, front slit",Clothing/Women/Kurtas/Sangria/More by Sangria,499,999,Women,In Stock
L,Libas,Cotton,Blue | Green | Lime Green,Straight Kurta,"Lime Green and blue printed straight kurta, has a tie-up neck, short sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
Cotton  Machine-wash
This breathable and stylish kurta from Libas is a must-have item for any wardrobe.  Dress up for your next family event by pairing this lime green piece with your best Kolhapuris and simple jewellery.","Lime Green and blue printed straight kurta, has a tie-up neck, short sleeves, straight hem, side slits",Clothing/Women/Kurtas/Libas/More by Libas,749,1499,Women,In Stock
13Y,Biba,Cotton,Pink,Layered Kurta,"Pink kurta with blue churidar and dupatta Pink layered kurta, has a round neck with embroidered detail, three-quarter sleeves, flared hem Blue soild churidar has an elasticated waistband Pink net dupatta
Outfit your little girl in this adorable kurta set from Biba. Be sure to pair this kurta set with mojaris and bangles for the perfect dress up ensemble.
Kurta: Cotton&nbsp; Churidar: Cotton Dupatta: Net Dry Clean. Cool Iron on reverse of garment","Pink kurta with blue churidar and dupatta Pink layered kurta, has a round neck with embroidered detail, three-quarter sleeves, flared hem Blue soild churidar has an elasticated waistband Pink net dupatta",Clothing/Girls/Kurta Sets/Biba/More by Biba,3199,3999,Girls,Out of Stock
11-12Y,YK,Polyester,Yellow,Straight Kurta,"Yellow embroidered straight kurta, has a round neck, short sleeves, straight hem, side slits
Your girl can wear this pretty kurta with leggings.
Polyester  Machine-wash","Yellow embroidered straight kurta, has a round neck, short sleeves, straight hem, side slits",Clothing/Girls/Kurtas/YK/More by YK,679,1699,Girls,In Stock
M,Khoday Williams,Polyester,Blue,A-Line Kurta,"Blue solid A-line kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Polyester   Machine-wash
Sport this classic kurta from Khoday Williams this season.  You'll look dapper as ever in this blue piece paired with slim jeans and sandals, ideal for any nice family gathering.","Blue solid A-line kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/Khoday Williams/More by Khoday Williams,600,1500,Men,In Stock
32,Bitterlime,Viscose Rayon,Pink,Skirt,"Pink flared maxi skirt with floral block print detail, has a drawstring fastening, flared hemline
The model (height 5'8"") is wearing a size 30
Jazz up your clothing selection with Bitterlime Skirts. Dress up this solid pair with Wedges or heels, a top or short kurta when you're heading out.
Viscose rayon Machine-wash","Pink flared maxi skirt with floral block print detail, has a drawstring fastening, flared hemline",Clothing/Women/Skirts/Bitterlime/More by Bitterlime,599,999,Women,In Stock
2-3Y,Ethnicity,Cotton,Teal,Kurta with Churidar & Dupatta,"Teal blue printed kurta setTeal blue printed A-line kurta, has a round neck, short sleevesTeal blue solid churidarTeal blue solid dupatta, has a taping border
The color detailing of this teal kurta set from Ethnicity will make your little girl sparkle at her next event.  Pair this kurta set up with your favorite flats and bangles for the perfect dress up look.
Kurta fabric: pure cotton Bottom fabric: pure cotton Dupatta fabric: pure cotton Dry-clean","Teal blue printed kurta setTeal blue printed A-line kurta, has a round neck, short sleevesTeal blue solid churidarTeal blue solid dupatta, has a taping border",Clothing/Girls/Kurta Sets/Ethnicity/More by Ethnicity,899,1499,Girls,Out of Stock
Onesize,Inddus,Net,Green | Sea Green,Saree,"Sea Green solid saree with gotta patti detail, has taping along the border Blouse Piece The model is wearing a stitched version of the blouse. The saree comes with an unstitched blouse piece.
Length: 5.5 metres plus 0.8 metre blouse piece Width: 1.06 metres (approx)
Saree fabric: net Blouse fabric: art silk Dry-clean
Feel stunning in this party saree from Inddus.  Pair this sea green design with simple heels and a cute clutch when you're going out to celebrate a loved one's engagement.","Sea Green solid saree with gotta patti detail, has taping along the border Blouse Piece The model is wearing a stitched version of the blouse. The saree comes with an unstitched blouse piece.",Clothing/Women/Sarees/Inddus/More by Inddus,2159,5399,Women,In Stock
M,Ishin,Viscose Rayon,Yellow | Mustard,Maxi Dress,"Mustard yellow printed woven maxi dress with embriodered detail, has a round neck, three-quarter sleeves, flared hem
Semi-Fit The model (height 5'8"") is wearing a size S
Viscose Rayon Hand-wash
This trendy dress from Ishin will make a great addition to any wardrobe.  Wear this embellished mustard piece with a pair of heels or flats for a perfect lunch look.","Mustard yellow printed woven maxi dress with embriodered detail, has a round neck, three-quarter sleeves, flared hem",Clothing/Women/Dresses/Ishin/More by Ishin,767,2399,Women,In Stock
27,HERE&NOW,Cotton,Pink,Cropped Palazzo,"A pair of off-white and pink printed woven wide leg palazzos, opaque, has 2 pockets, drawstring, elasticated waistband Manufacturer Info: RAHUL CRAFT Country of Origin: India &nbsp;
The model (height 5'8"") is wearing a size 27
Cotton   Machine-wash
These top-of-the-line off-white palazzos made by HERE&amp;NOW are ideal for warmer days.  For a chic, stylish look, be sure to pair them with a sleek tank and gladiator sandals.","A pair of off-white and pink printed woven wide leg palazzos, opaque, has 2 pockets, drawstring, elasticated waistband Manufacturer Info: RAHUL CRAFT Country of Origin: India &nbsp;",Clothing/Women/Palazzos/HERE&NOW/More by HERE&NOW,449,899,Women,In Stock
XS,Libas,Viscose Rayon,Yellow | Blue,Maxi Dress,"Yellow and blue printed woven maxi dress, has a round neck, three-quarter sleeves, flared hem
Semi-Fit The model (height 5'8"") is wearing a size S
Viscose Rayon Machine-wash
This spectacular dress from Libas will give you an extra dose of style. Wear this printed piece with a pair of heels or flats for a perfect lunch look.","Yellow and blue printed woven maxi dress, has a round neck, three-quarter sleeves, flared hem",Clothing/Women/Dresses/Libas/More by Libas,854,1899,Women,Out of Stock
Double King,SWAYAM,Cotton,Blue,,"Set content: 1 King bedsheet with 2 pillow covers Quality: Regular Thread count: 200 Colour: Blue and Off-White Pattern: Geometric flat
King bedsheet: 2.25 m x 270 mPillow covers:Â 45 cm X 70 cm
Return home to the comfort of a nice and cosy bed with this bedsheet from Home SWAYAM. Styled with an enthralling design and pattern, it will lend a fresh appeal to your bedroom.
100% CottonMachine-wash",Set content: 1 King bedsheet with 2 pillow covers Quality: Regular Thread count: 200 Colour: Blue and Off-White Pattern: Geometric flat,Home/Unisex/Bedsheets/SWAYAM/More by SWAYAM,1624,2499,Unisex,In Stock
L,Libas,Viscose Rayon,Blue | Orange,Layered Maxi Dress,"Blue solid woven maxi dress, has a round neck, sleeveless, flounce hem Comes with a printed layer in orange, has three-quarter bell sleeves, tie-up detail, round neck
The model (height 5'8"") is wearing a size S
Viscose Rayon  Hand-wash
This timeless and lavish Libas dress is suitable for any season.  Complement this solid blue piece with a pair of caged heels, your favourite bag and some minimalistic silver jewellery for a classy date ensemble.","Blue solid woven maxi dress, has a round neck, sleeveless, flounce hem Comes with a printed layer in orange, has three-quarter bell sleeves, tie-up detail, round neck",Clothing/Women/Dresses/Libas/More by Libas,1294,3699,Women,Out of Stock
XS,Anouk,polyester,Black | Blue,Straight Kurta,"Blue and black striped straight kurta, has a keyhole neck, three-quarter sleeves, straight hem, multiple slits
The model (height 5'8"") is wearing a size S
100% polyester Machine-wash
This modern kurta from Anouk will take your personal style to new heights.  Dress up for your next family event by pairing this blue piece with your best Kolhapuris and simple jewellery.","Blue and black striped straight kurta, has a keyhole neck, three-quarter sleeves, straight hem, multiple slits",Clothing/Women/Kurtas/Anouk/More by Anouk,679,1699,Women,Out of Stock
S,House of Pataudi,Cotton,,Straight Kurta,"Off-White solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Cotton  Hand-wash
From House of Pataudi, this kurta is a great way to show off your style.  When you need a stylish ensemble for your next family function or party, sport this off-white piece with a pair of fitted jeans.","Off-White solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/House of Pataudi/More by House of Pataudi,599,999,Men,Out of Stock
